Common.Name,Code,Group
Semipalmated Sandpiper,SESA,waterbirds
Sharp-shinned Hawk,SSHA,western_forests
Sharp-tailed Grouse,STGR,grasslands
Short-billed Dowitcher,SBDO,waterbirds
Short-eared Owl,SEOW,grasslands
Short-tailed Hawk,STHA,subtropical_forests
Smith's Longspur,SMLO,arctic
Snail Kite,SNKI,marshlands
Snow Bunting,SNBU,arctic
Snow Goose,SNGO,waterbirds
Snowy Egret,SNEG,marshlands
Snowy Owl,SNOW,arctic
Snowy Plover,SNPL,coastal
Solitary Sandpiper,SOSA,waterbirds
Song Sparrow,SOSP,generalists
Sora,SORA,marshlands
Spectacled Eider,SPEI,coastal
Spot-breasted Oriole,SBOR,urban_suburban
Spotted Dove,SPDO,urban_suburban
Spotted Owl,SPOW,western_forests
Spotted Sandpiper,SPSA,waterbirds
Spotted Towhee,SPTO,western_forests
Sprague's Pipit,SPPI,grasslands
Spruce Grouse,SPGR,boreal_forests
Steller's Eider,STEI,coastal
Steller's Jay,STJA,western_forests
Stilt Sandpiper,STSA,waterbirds
Sulphur-bellied Flycatcher,SBFL,subtropical_forests
Summer Tanager,SUTA,eastern_forests
Surf Scoter,SUSC,coastal
Surf Scoter,SUSC,waterbirds
Surfbird,SURF,waterbirds
Swainson's Hawk,SWHA,grasslands
Swainson's Thrush,SWTH,boreal_forests
Swainson's Warbler,SWWA,eastern_forests
Swallow-tailed Kite,STKI,subtropical_forests
Swamp Sparrow,SWSP,marshlands
Tennessee Warbler,TEWA,boreal_forests
Thick-billed Kingbird,TBKI,subtropical_forests
Thick-billed Murre,TBMU,coastal
Townsend's Solitaire,TOSO,western_forests
Townsend's Warbler,TOWA,western_forests
Tree Swallow,TRES,generalists
Tricolored Blackbird,TRBL,marshlands
Tricolored Heron,TRHE,marshlands
Tropical Kingbird,TRKI,aridlands
Tropical Parula,TRPA,subtropical_forests
Trumpeter Swan,TRUS,waterbirds
Tufted Titmouse,TUTI,eastern_forests
Tundra Swan,TUSW,waterbirds
Turkey Vulture,TUVU,generalists
Upland Sandpiper,UPSA,grasslands
Varied Bunting,VABU,aridlands
Varied Thrush,VATH,western_forests
Vaux's Swift,VASW,western_forests
Veery,VEER,eastern_forests
Verdin,VERD,aridlands
Vermilion Flycatcher,VEFL,aridlands
Vesper Sparrow,VESP,grasslands
Violet-green Swallow,VGSW,western_forests
Virginia Rail,VIRA,marshlands
Virginia's Warbler,VIWA,western_forests
Wandering Tattler,WATA,waterbirds
Warbling Vireo,WAVI,generalists
Western Bluebird,WEBL,western_forests
Western Grebe,WEGR,marshlands
Western Gull,WEGU,coastal
Western Kingbird,WEKI,grasslands
Western Meadowlark,WEME,grasslands
Western Sandpiper,WESA,waterbirds
Western Screech-Owl,WESO,western_forests
Western Tanager,WETA,western_forests
Western Wood-Pewee,WEWP,western_forests
Whimbrel,WHIM,waterbirds
Whiskered Screech-Owl,WHSO,subtropical_forests
White Ibis,WHIB,marshlands
White-breasted Nuthatch,WBNU,eastern_forests
White-crowned Pigeon,WCPI,coastal
White-crowned Sparrow,WCSP,generalists
White-eyed Vireo,WEVI,eastern_forests
White-faced Ibis,WFIB,marshlands
White-headed Woodpecker,WHWO,western_forests
White-rumped Sandpiper,WRSA,waterbirds
White-tailed Hawk,WTHA,grasslands
White-tailed Kite,WTKI,aridlands
White-throated Sparrow,WTSP,boreal_forests
White-throated Swift,WTSW,aridlands
